iid,gender,pid,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec
2,0,11,27,2,35,20,20,20,0,5,19.5121951219512,17.0731707317073,14.6341463414634,21.9512195121951,17.0731707317073,9.75609756097561,7,2,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,12,22,2,60,0,0,40,0,0,17.5,15,25,15,15,12.5,8,4,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,14,23,2,30,5,15,40,5,5,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,9,7,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,1
2,0,15,24,3,30,10,20,10,10,20,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,12.7272727272727,14.5454545454545,10,1,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,16,25,2,50,0,30,10,0,10,17.0731707317073,19.5121951219512,17.0731707317073,12.1951219512195,17.0731707317073,17.0731707317073,7,5,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,17,30,2,35,15,25,10,5,10,21.7391304347826,13.0434782608696,17.3913043478261,13.0434782608696,21.7391304347826,13.0434782608696,4,3,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,1
2,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,17.5,17.5,17.5,17.5,17.5,12.5,7,6,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,0
2,0,19,28,2,50,0,25,10,0,15,17.0212765957447,12.7659574468085,19.1489361702128,19.1489361702128,17.0212765957447,14.8936170212766,8,8,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,1
2,0,20,24,2,100,0,0,0,0,0,14.6341463414634,12.1951219512195,17.0731707317073,17.0731707317073,21.9512195121951,17.0731707317073,6,9,1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,,1
3,0,11,27,2,35,20,20,20,0,5,18.421052631579,21.0526315789474,15.7894736842105,13.1578947368421,21.0526315789474,10.5263157894737,5,2,0,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,12,22,2,60,0,0,40,0,0,15,17.5,25,15,15,12.5,7,3,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,14,23,2,30,5,15,40,5,5,14.5833333333333,18.75,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,7,7,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,15,24,3,30,10,20,10,10,20,20,33.3333333333333,26.6666666666667,20,,,6,1,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,16,25,2,50,0,30,10,0,10,18.9189189189189,16.2162162162162,16.2162162162162,16.2162162162162,16.2162162162162,16.2162162162162,6,7,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,17,30,2,35,15,25,10,5,10,22.2222222222222,11.1111111111111,18.5185185185185,14.8148148148148,18.5185185185185,14.8148148148148,2,2,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,13.7931034482759,17.2413793103448,20.6896551724138,13.7931034482759,20.6896551724138,13.7931034482759,5,1,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,19,28,2,50,0,25,10,0,15,16.6666666666667,16.6666666666667,14.2857142857143,19.047619047619,16.6666666666667,16.6666666666667,7,7,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
3,0,20,24,2,100,0,0,0,0,0,13.1578947368421,15.7894736842105,21.0526315789474,13.1578947368421,21.0526315789474,15.7894736842105,5,5,1,25,2,2,8,4,,1,3,1,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,,0
4,0,11,27,2,35,20,20,20,0,5,15,17.5,20,17.5,17.5,12.5,6,3,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,12,22,2,60,0,0,40,0,0,15.7894736842105,13.1578947368421,26.3157894736842,15.7894736842105,15.7894736842105,13.1578947368421,6,3,0,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,14,23,2,30,5,15,40,5,5,14.5833333333333,14.5833333333333,14.5833333333333,18.75,18.75,18.75,8,10,0,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,1
4,0,15,24,3,30,10,20,10,10,20,16,16,18,16,16,18,9,7,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,16,25,2,50,0,30,10,0,10,14.6341463414634,14.6341463414634,17.0731707317073,17.0731707317073,19.5121951219512,17.0731707317073,6,6,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,17,30,2,35,15,25,10,5,10,21.875,18.75,9.375,15.625,18.75,15.625,6,4,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,15.7894736842105,18.421052631579,21.0526315789474,15.7894736842105,15.7894736842105,13.1578947368421,7,7,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,0
4,0,19,28,2,50,0,25,10,0,15,14,14,14,20,18,20,8,8,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,1
4,0,20,24,2,100,0,0,0,0,0,15.5555555555556,17.7777777777778,17.7777777777778,15.5555555555556,17.7777777777778,15.5555555555556,7,7,1,23,1,2,1,1,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,,,,,,1
5,0,11,27,2,35,20,20,20,0,5,13.953488372093,18.6046511627907,18.6046511627907,18.6046511627907,16.2790697674419,13.953488372093,6,5,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,0
5,0,12,22,2,60,0,0,40,0,0,14.6341463414634,17.0731707317073,24.390243902439,17.0731707317073,14.6341463414634,12.1951219512195,7,4,0,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,0
5,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,0,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,0
5,0,14,23,2,30,5,15,40,5,5,12.5,16.6666666666667,12.5,16.6666666666667,20.8333333333333,20.8333333333333,7,7,0,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
5,0,15,24,3,30,10,20,10,10,20,11.3636363636364,20.4545454545455,20.4545454545455,15.9090909090909,20.4545454545455,11.3636363636364,5,7,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,0
5,0,16,25,2,50,0,30,10,0,10,12.1951219512195,19.5121951219512,17.0731707317073,17.0731707317073,17.0731707317073,17.0731707317073,6,7,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
5,0,17,30,2,35,15,25,10,5,10,9.52380952380952,14.2857142857143,19.047619047619,19.047619047619,23.8095238095238,14.2857142857143,3,3,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
5,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,16.1290322580645,16.1290322580645,19.3548387096774,16.1290322580645,16.1290322580645,16.1290322580645,6,5,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
5,0,19,28,2,50,0,25,10,0,15,10.6382978723404,19.1489361702128,19.1489361702128,19.1489361702128,19.1489361702128,12.7659574468085,7,7,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
5,0,20,24,2,100,0,0,0,0,0,7.14285714285714,23.8095238095238,16.6666666666667,16.6666666666667,23.8095238095238,11.9047619047619,4,10,1,21,1,2,8,1,86340,1,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,,,,,,1
6,0,11,27,2,35,20,20,20,0,5,15.5555555555556,20,17.7777777777778,20,17.7777777777778,8.88888888888889,7,4,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
6,0,12,22,2,60,0,0,40,0,0,13.953488372093,18.6046511627907,23.2558139534884,13.953488372093,16.2790697674419,13.953488372093,7,4,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
6,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,0,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,0
6,0,14,23,2,30,5,15,40,5,5,13.0434782608696,17.3913043478261,17.3913043478261,15.2173913043478,19.5652173913043,17.3913043478261,7,7,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
6,0,15,24,3,30,10,20,10,10,20,19.1489361702128,14.8936170212766,19.1489361702128,14.8936170212766,19.1489361702128,12.7659574468085,9,2,0,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,0
6,0,16,25,2,50,0,30,10,0,10,13.953488372093,13.953488372093,18.6046511627907,18.6046511627907,18.6046511627907,16.2790697674419,6,6,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,0
6,0,17,30,2,35,15,25,10,5,10,15.625,18.75,25,12.5,15.625,12.5,3,3,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
6,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,14.6341463414634,17.0731707317073,19.5121951219512,17.0731707317073,19.5121951219512,12.1951219512195,7,6,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,0
6,0,19,28,2,50,0,25,10,0,15,15.7894736842105,18.421052631579,18.421052631579,15.7894736842105,15.7894736842105,15.7894736842105,6,6,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
6,0,20,24,2,100,0,0,0,0,0,14,20,20,12,20,14,6,7,1,23,1,4,1,1,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,,,,,,1
7,0,11,27,2,35,20,20,20,0,5,15.5555555555556,17.7777777777778,17.7777777777778,17.7777777777778,15.5555555555556,15.5555555555556,7,4,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,12,22,2,60,0,0,40,0,0,16.2790697674419,20.9302325581395,23.2558139534884,13.953488372093,13.953488372093,11.6279069767442,8,4,0,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,14,23,2,30,5,15,40,5,5,15.6862745098039,15.6862745098039,17.6470588235294,15.6862745098039,17.6470588235294,17.6470588235294,8,7,0,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,1
7,0,15,24,3,30,10,20,10,10,20,18.1818181818182,15.9090909090909,20.4545454545455,13.6363636363636,20.4545454545455,11.3636363636364,8,4,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,16,25,2,50,0,30,10,0,10,19.047619047619,19.047619047619,19.047619047619,14.2857142857143,14.2857142857143,14.2857142857143,7,7,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,17,30,2,35,15,25,10,5,10,24.1379310344828,20.6896551724138,17.2413793103448,13.7931034482759,13.7931034482759,10.3448275862069,5,4,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,1
7,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,20,17.5,15,17.5,17.5,12.5,7,5,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,0
7,0,19,28,2,50,0,25,10,0,15,16.9811320754717,13.2075471698113,16.9811320754717,16.9811320754717,16.9811320754717,18.8679245283019,9,9,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,1
7,0,20,24,2,100,0,0,0,0,0,16.6666666666667,14.2857142857143,19.047619047619,14.2857142857143,19.047619047619,16.6666666666667,7,7,1,22,1,4,2,4,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,,,,,,1
8,0,11,27,2,35,20,20,20,0,5,21.0526315789474,18.421052631579,15.7894736842105,15.7894736842105,15.7894736842105,13.1578947368421,7,4,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,12,22,2,60,0,0,40,0,0,18.1818181818182,18.1818181818182,22.7272727272727,15.9090909090909,13.6363636363636,11.3636363636364,9,4,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,13,22,4,19,18,19,18,14,12,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,14,23,2,30,5,15,40,5,5,17.0212765957447,17.0212765957447,17.0212765957447,17.0212765957447,17.0212765957447,14.8936170212766,8,7,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,15,24,3,30,10,20,10,10,20,21.4285714285714,21.4285714285714,19.047619047619,21.4285714285714,,16.6666666666667,9,7,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,16,25,2,50,0,30,10,0,10,18.1818181818182,15.9090909090909,15.9090909090909,15.9090909090909,18.1818181818182,15.9090909090909,7,6,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,17,30,2,35,15,25,10,5,10,18.75,12.5,21.875,15.625,18.75,12.5,4,4,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
8,0,18,27,2,33.33,11.11,11.11,11.11,11.11,22.22,20,17.7777777777778,17.7777777777778,17.7777777777778,15.5555555555556,11.1111111111111,7,5,1,25,13,2,1,1,,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,30,10,20,30,5,5,7,4,8,8,8,,,,,,1
